key_locality_sub_;Étiquettes de lignes;locality;Min. de prix_m2_2;Moyenne de prix_m2;Max. de prix_m2;
GROUND_FLOORHalle-Vilvoorde;GROUND_FLOOR;Halle-Vilvoorde;1842;3634;7963;
HOUSEHalle-Vilvoorde;HOUSE;Halle-Vilvoorde;743;2655;9133;
LOFTHalle-Vilvoorde;LOFT;Halle-Vilvoorde;693;2580;4534;
MANSIONHalle-Vilvoorde;MANSION;Halle-Vilvoorde;1375;2505;3886;
MIXED_USE_BUILDINGHalle-Vilvoorde;MIXED_USE_BUILDING;Halle-Vilvoorde;562;2133;6250;
PENTHOUSEHalle-Vilvoorde;PENTHOUSE;Halle-Vilvoorde;2190;4239;8670;
SERVICE_FLATHalle-Vilvoorde;SERVICE_FLAT;Halle-Vilvoorde;2167;3421;5331;
TOWN_HOUSEHalle-Vilvoorde;TOWN_HOUSE;Halle-Vilvoorde;874;2440;3950;
VILLAHalle-Vilvoorde;VILLA;Halle-Vilvoorde;1467;3014;8088;
APARTMENTHasselt;APARTMENT;Hasselt;729;3069;7490;
APARTMENT_BLOCKHasselt;APARTMENT_BLOCK;Hasselt;850;1962;3210;
DUPLEX-TRIPLEXHasselt;DUPLEX-TRIPLEX;Hasselt;1620;2640;5878;
EXCEPTIONAL_PROPERTYHasselt;EXCEPTIONAL_PROPERTY;Hasselt;1043;3051;4566;
FLAT_STUDIOHasselt;FLAT_STUDIO;Hasselt;1400;3219;6200;
GROUND_FLOORHasselt;GROUND_FLOOR;Hasselt;1400;2992;4080;
HOUSEHasselt;HOUSE;Hasselt;407;2012;7247;
KOTHasselt;KOT;Hasselt;6852;6852;6852;
LOFTHasselt;LOFT;Hasselt;3333;3959;4411;
MANSIONHasselt;MANSION;Hasselt;1503;2208;2865;
MIXED_USE_BUILDINGHasselt;MIXED_USE_BUILDING;Hasselt;608;1877;3474;
PENTHOUSEHasselt;PENTHOUSE;Hasselt;1810;3639;5937;
SERVICE_FLATHasselt;SERVICE_FLAT;Hasselt;2403;3995;5179;
TOWN_HOUSEHasselt;TOWN_HOUSE;Hasselt;2056;2892;3507;
VILLAHasselt;VILLA;Hasselt;982;2363;4091;
APARTMENTHuy;APARTMENT;Huy;1082;2381;3800;
APARTMENT_BLOCKHuy;APARTMENT_BLOCK;Huy;417;1333;2303;
DUPLEX-TRIPLEXHuy;DUPLEX-TRIPLEX;Huy;477;1988;2600;
EXCEPTIONAL_PROPERTYHuy;EXCEPTIONAL_PROPERTY;Huy;1797;2188;2650;
FLAT_STUDIOHuy;FLAT_STUDIO;Huy;2472;2622;2755;
GROUND_FLOORHuy;GROUND_FLOOR;Huy;2450;2450;2450;
HOUSEHuy;HOUSE;Huy;533;1739;8429;
MIXED_USE_BUILDINGHuy;MIXED_USE_BUILDING;Huy;542;1623;5824;
PENTHOUSEHuy;PENTHOUSE;Huy;2500;2877;3255;
TOWN_HOUSEHuy;TOWN_HOUSE;Huy;1331;1671;2343;
VILLAHuy;VILLA;Huy;1360;2483;5118;
APARTMENTKortrijk;APARTMENT;Kortrijk;541;3060;9477;
APARTMENT_BLOCKKortrijk;APARTMENT_BLOCK;Kortrijk;647;1244;1888;
DUPLEX-TRIPLEXKortrijk;DUPLEX-TRIPLEX;Kortrijk;1414;2275;3244;
EXCEPTIONAL_PROPERTYKortrijk;EXCEPTIONAL_PROPERTY;Kortrijk;1006;2642;4626;
FLAT_STUDIOKortrijk;FLAT_STUDIO;Kortrijk;2643;2889;3135;
GROUND_FLOORKortrijk;GROUND_FLOOR;Kortrijk;1429;3171;4333;
HOUSEKortrijk;HOUSE;Kortrijk;483;2025;13462;
KOTKortrijk;KOT;Kortrijk;5500;5550;5600;
LOFTKortrijk;LOFT;Kortrijk;1610;2856;3767;
MANSIONKortrijk;MANSION;Kortrijk;606;1708;2650;
MIXED_USE_BUILDINGKortrijk;MIXED_USE_BUILDING;Kortrijk;419;1691;3278;
PENTHOUSEKortrijk;PENTHOUSE;Kortrijk;1833;4008;8298;
SERVICE_FLATKortrijk;SERVICE_FLAT;Kortrijk;2733;3730;4363;
TOWN_HOUSEKortrijk;TOWN_HOUSE;Kortrijk;2993;2993;2993;
VILLAKortrijk;VILLA;Kortrijk;624;2460;5079;
APARTMENTLeuven;APARTMENT;Leuven;1058;3956;15750;
APARTMENT_BLOCKLeuven;APARTMENT_BLOCK;Leuven;1175;3824;7741;
DUPLEX-TRIPLEXLeuven;DUPLEX-TRIPLEX;Leuven;1679;3767;10000;
EXCEPTIONAL_PROPERTYLeuven;EXCEPTIONAL_PROPERTY;Leuven;1083;2832;6066;
FLAT_STUDIOLeuven;FLAT_STUDIO;Leuven;2661;8530;14444;
GROUND_FLOORLeuven;GROUND_FLOOR;Leuven;1854;3437;7225;
HOUSELeuven;HOUSE;Leuven;466;2441;12679;
KOTLeuven;KOT;Leuven;6824;12705;17500;
LOFTLeuven;LOFT;Leuven;2488;3281;4350;
MANSIONLeuven;MANSION;Leuven;1016;2428;4950;
MIXED_USE_BUILDINGLeuven;MIXED_USE_BUILDING;Leuven;452;2380;5471;
PENTHOUSELeuven;PENTHOUSE;Leuven;2825;4520;8212;
SERVICE_FLATLeuven;SERVICE_FLAT;Leuven;2008;3691;5311;
TOWN_HOUSELeuven;TOWN_HOUSE;Leuven;1285;2588;3762;
VILLALeuven;VILLA;Leuven;913;2743;6404;
APARTMENTLiège;APARTMENT;Liège;447;2796;7353;
APARTMENT_BLOCKLiège;APARTMENT_BLOCK;Liège;449;1697;15942;
DUPLEX-TRIPLEXLiège;DUPLEX-TRIPLEX;Liège;912;2056;3661;
EXCEPTIONAL_PROPERTYLiège;EXCEPTIONAL_PROPERTY;Liège;973;1970;3784;
FLAT_STUDIOLiège;FLAT_STUDIO;Liège;1646;3267;5294;
GROUND_FLOORLiège;GROUND_FLOOR;Liège;1200;2906;4467;
HOUSELiège;HOUSE;Liège;424;1742;5094;
LOFTLiège;LOFT;Liège;447;2596;3738;
MANSIONLiège;MANSION;Liège;850;1473;2238;
MIXED_USE_BUILDINGLiège;MIXED_USE_BUILDING;Liège;464;1568;6250;
PENTHOUSELiège;PENTHOUSE;Liège;1451;3187;5258;
SERVICE_FLATLiège;SERVICE_FLAT;Liège;4310;4310;4310;
TOWN_HOUSELiège;TOWN_HOUSE;Liège;782;1820;3155;
VILLALiège;VILLA;Liège;625;2332;4411;
